flight_id,sequence,timestamp,latitude,longitude,kts,mph,feet,rate,phase,distance_km,cum_distance
AXM706_20250317_1,32,Wed 12:32:05 PM,1.8624,102.9369,452.0,520.0,22025.0,,unknown,7.434746471880356,144.86495588873558
AXM706_20250317_1,33,Wed 12:32:43 PM,1.8869,102.8615,452.0,520.0,22025.0,,unknown,8.821185572022577,153.68614146075817
AXM706_20250317_1,34,Wed 12:33:13 PM,1.9059,102.8026,453.0,521.0,22025.0,,unknown,6.885997053259181,160.57213851401735
AXM706_20250317_1,35,Wed 12:33:44 PM,1.9257,102.7416,451.0,519.0,22025.0,,unknown,7.135636547757408,167.70777506177475
AXM706_20250317_1,36,Wed 12:34:14 PM,1.9448,102.6821,450.0,518.0,22025.0,,unknown,6.952807578493383,174.66058264026813
AXM706_20250317_1,37,Wed 12:34:44 PM,1.9642,102.6216,450.0,518.0,22025.0,,unknown,7.0688726066636,181.72945524693174
AXM706_20250317_1,38,Wed 12:35:14 PM,1.9832,102.5623,450.0,518.0,22025.0,,unknown,6.928074790406129,188.65753003733786
AXM706_20250317_1,39,Wed 12:35:46 PM,2.0035,102.4992,451.0,519.0,22025.0,,unknown,7.374757617960213,196.03228765529806
AXM706_20250317_1,40,Wed 12:36:16 PM,2.0227,102.4395,450.0,518.0,22025.0,-123.0,cruise,6.977100307055707,203.00938796235377
AXM706_20250317_1,41,Wed 12:36:47 PM,2.0428,102.3771,449.0,517.0,21900.0,-738.0,descent,7.29364565233957,210.30303361469333
AXM706_20250317_1,42,Wed 12:37:17 PM,2.0618,102.3178,442.0,509.0,21275.0,-2175.0,descent,6.92777045140853,217.23080406610185
AXM706_20250317_1,43,Wed 12:37:47 PM,2.0798,102.2618,426.0,490.0,19725.0,-3566.0,descent,6.544129373088551,223.7749334391904
AXM706_20250317_1,44,Wed 12:38:18 PM,2.0985,102.2035,413.0,475.0,17650.0,-3959.0,descent,6.811494800021195,230.58642823921159
AXM706_20250317_1,45,Wed 12:38:48 PM,2.1156,102.1498,404.0,465.0,15700.0,-3800.0,descent,6.269767503228515,236.8561957424401
AXM706_20250317_1,46,Wed 12:39:18 PM,2.1317,102.1001,390.0,449.0,13850.0,-3811.0,descent,5.812015403977262,242.66821114641735
AXM706_20250317_1,47,Wed 12:39:49 PM,2.1492,102.0453,380.0,437.0,11825.0,-3515.0,descent,6.399754332382388,249.06796547879975
AXM706_20250317_1,48,Wed 12:40:25 PM,2.1686,101.9848,370.0,426.0,9925.0,-2432.0,descent,7.068047700083617,256.1360131788834
AXM706_20250317_1,49,Wed 12:40:55 PM,2.1833,101.9385,353.0,406.0,9150.0,-925.0,descent,5.404088718719551,261.54010189760294
AXM706_20250317_1,50,Wed 12:41:25 PM,2.1972,101.8951,322.0,371.0,9000.0,-525.0,descent,5.069646996205845,266.6097488938088
AXM706_20250317_1,51,Wed 12:41:55 PM,2.2107,101.8535,299.0,344.0,8625.0,-913.0,descent,4.865378046006882,271.47512693981565
AXM706_20250317_1,52,Wed 12:42:11 PM,2.2171,101.8335,294.0,338.0,8300.0,-1182.0,descent,2.336026676440361,273.81115361625604
AXM706_20250317_1,53,Wed 12:42:28 PM,2.2244,101.8113,287.0,330.0,7975.0,-862.0,descent,2.599715399953311,276.41086901620935
