Time (+08),Latitude,Longitude,Course,kts,mph,feet,Rate,Reporting Facility
Thu 12:18:00 PM    Left Gate (SIN) @ Thursday 12:18:00 PM +08,,,,,,,, Airline
Taxi Time: 10 minutes,,,,,,,,
Thu 12:28:03 PM    Departure (SIN) @ Thursday 12:28:03 PM +08,,,,,,,, FlightAware ADS-B (XSP / WSSL)
Wed 12:44:00 PM,2.2597,101.7021,← 293°,270,311,5525,-2221, FlightAware ADS-B (SZB / WMSA)
Wed 12:44:20 PM,2.2762,101.6832,↖ 326°,270,311,4800,-1855, FlightAware ADS-B (MKZ / WMKM)
Wed 12:44:38 PM,2.2973,101.6749,↑ 359°,267,307,4350,-1014, FlightAware ADS-B (MKZ / WMKM)
Wed 12:44:57 PM,2.3197,101.6808,↗ 30°,267,307,4175,-434, FlightAware ADS-B (SZB / WMSA)
Wed 12:45:16 PM,2.3383,101.6931,↗ 34°,267,307,4075,-429, FlightAware ADS-B (KUL / WMKK)
Wed 12:45:32 PM,2.3552,101.704,↗ 33°,269,310,3925,-516, FlightAware ADS-B (KUL / WMKK)
Wed 12:45:48 PM,2.3717,101.7145,↗ 32°,267,307,3800,-455, FlightAware ADS-B (SZB / WMSA)
Wed 12:46:05 PM,2.3898,101.726,↗ 33°,265,305,3675,-500, FlightAware ADS-B (KUL / WMKK)
Wed 12:46:21 PM,2.4071,101.7371,↗ 33°,264,304,3525,-638, FlightAware ADS-B (SZB / WMSA)
Wed 12:46:52 PM,2.4392,101.7577,↗ 33°,262,302,3175,-862, FlightAware ADS-B (WMBF)
Wed 12:47:08 PM,2.4546,101.7677,↗ 33°,260,299,2850,-955, FlightAware ADS-B (SZB / WMSA)
Wed 12:47:25 PM,2.4725,101.7791,↗ 33°,254,292,2650,-429, FlightAware ADS-B (KUL / WMKK)
Wed 12:47:43 PM,2.4892,101.79,↗ 33°,241,277,2600,-86, FlightAware ADS-B (SZB / WMSA)
Wed 12:48:00 PM,2.5037,101.7994,↗ 33°,217,250,2600,43, FlightAware ADS-B (KUL / WMKK)
Wed 12:48:18 PM,2.5189,101.809,↗ 30°,195,224,2625,38, FlightAware ADS-B (SZB / WMSA)
Wed 12:48:39 PM,2.5369,101.8096,↑ 340°,200,230,2625,-28, FlightAware ADS-B (SZB / WMSA)
Wed 12:49:11 PM,2.562,101.7955,↖ 327°,185,213,2600,, FlightAware ADS-B (KUL / WMKK)
Wed 12:49:31 PM,2.5756,101.7864,↖ 326°,171,197,2625,, FlightAware ADS-B (KUL / WMKK)
Wed 12:50:01 PM,2.5957,101.773,↖ 326°,172,198,2600,-360, FlightAware ADS-B (KUL / WMKK)
Wed 12:50:21 PM,2.6091,101.7641,↖ 326°,169,194,2325,-833, FlightAware ADS-B (KUL / WMKK)
Wed 12:50:37 PM,2.6192,101.7573,↖ 326°,165,190,2100,-771, FlightAware ADS-B (SZB / WMSA)
Wed 12:50:56 PM,2.6307,101.7495,↖ 326°,153,176,1875,-735, FlightAware ADS-B (KUL / WMKK)
Wed 12:51:26 PM,2.6476,101.7383,↖ 326°,147,169,1500,-750, FlightAware ADS-B (WMBF)
Wed 12:51:56 PM,2.6653,101.7263,↖ 326°,145,167,1125,-750, FlightAware ADS-B (KUL / WMKK)
Wed 12:52:14 PM,2.6751,101.7198,↖ 326°,144,166,900,-686, Surface and Near-Surface
Wed 12:52:31 PM,2.6843,101.7137,↖ 326°,146,168,725,-708, FlightAware ADS-B (WMBF)
