Time (+08),Latitude,Longitude,Course,kts,mph,feet,Rate,Reporting Facility
Thu 12:18:00 PM    Left Gate (SIN) @ Thursday 12:18:00 PM +08,,,,,,,, Airline
Taxi Time: 10 minutes,,,,,,,,
Thu 12:28:03 PM    Departure (SIN) @ Thursday 12:28:03 PM +08,,,,,,,, FlightAware ADS-B (XSP / WSSL)
Wed 12:59:09 PM,2.6158,101.7594,↖ 327°,154,177,2025,-227, FlightAware ADS-B (SZB / WMSA)
Wed 12:59:26 PM,2.6259,101.7528,↖ 327°,160,184,1900,-638, FlightAware ADS-B (KUL / WMKK)
Wed 12:59:56 PM,2.6437,101.7408,↖ 326°,148,170,1525,-750, FlightAware ADS-B (KUL / WMKK)
Wed 01:00:26 PM,2.661,101.7293,↖ 326°,152,175,1150,-764, FlightAware ADS-B (KUL / WMKK)
Wed 01:00:49 PM,2.6747,101.7201,↖ 326°,149,171,850,-768, Surface and Near-Surface
Wed 01:01:07 PM,2.6845,101.7135,↖ 326°,149,171,625,-750, FlightAware ADS-B (KUL / WMKK)
Wed 01:01:23 PM,2.6943,101.707,↖ 326°,150,173,425,-727, FlightAware ADS-B (KUL / WMKK)
Wed 01:01:40 PM,2.7041,101.7004,↖ 326°,150,173,225,-706, FlightAware ADS-B (KUL / WMKK)
Wed 01:02:22 PM    Arrival (KUL) @ Wednesday 01:02:22 PM +08,,,,,,,, FlightAware
Taxi Time: 6 minutes,,,,,,,,
Wed 01:09:00 PM    Gate Arrival (KUL) @ Wednesday 01:09:00 PM +08,,,,,,,, Airline
,,,,,,,,
Tue 12:33:02 PM    Departure (SIN) @ Tuesday 12:33:02 PM +08,,,,,,,, FlightAware ADS-B (SIN / WSSS)
Tue 12:33:02 PM,1.3501,103.9938,↑ 21°,155,178,375,, FlightAware ADS-B (SIN / WSSS)
Tue 12:33:18 PM,1.3608,103.9982,↗ 23°,167,192,875,1734, FlightAware ADS-B (SIN / WSSS)
Tue 12:33:34 PM,1.3726,104.0033,↗ 24°,188,216,1300,1922, FlightAware ADS-B (WSAG)
Tue 12:33:50 PM,1.3872,104.0096,↗ 23°,209,241,1900,2953, FlightAware ADS-B (WSAG)
Tue 12:34:06 PM,1.4017,104.0158,↗ 23°,212,244,2875,3469, FlightAware ADS-B (WSAG)
Tue 12:34:22 PM,1.4159,104.0219,↗ 23°,219,252,3750,3397, FlightAware ADS-B (JHB / WMKJ)
Tue 12:34:40 PM,1.4356,104.0253,↑ 359°,232,267,4800,3292, FlightAware ADS-B (WSAC)
Tue 12:34:58 PM,1.4538,104.0184,↖ 330°,249,287,5725,2605, FlightAware ADS-B (QPG / WSAP)
Tue 12:35:18 PM,1.4693,103.9998,← 297°,278,320,6450,2526, FlightAware ADS-B (WSAG)
Tue 12:35:36 PM,1.4792,103.9789,← 295°,289,333,7325,3625, FlightAware ADS-B (JHB / WMKJ)
Tue 12:36:06 PM,1.4973,103.9436,← 298°,281,323,9350,4173, FlightAware ADS-B (XSP / WSSL)
Tue 12:36:31 PM,1.5134,103.9157,← 303°,269,310,11150,3696, FlightAware ADS-B (QPG / WSAP)
Tue 12:37:02 PM,1.5362,103.8832,← 304°,273,314,12800,2730, FlightAware ADS-B (XSP / WSSL)
Tue 12:37:32 PM,1.5575,103.8521,← 304°,292,336,13925,1725, FlightAware ADS-B (WSAC)
Tue 12:38:02 PM,1.5821,103.816,← 304°,330,380,14525,1450, FlightAware ADS-B (WSAG)
Tue 12:38:32 PM,1.6104,103.7754,← 305°,357,411,15375,2200, FlightAware ADS-B (XSP / WSSL)
Tue 12:39:02 PM,1.6393,103.7339,← 304°,363,418,16725,2500, FlightAware ADS-B (XSP / WSSL)
Tue 12:39:32 PM,1.667,103.6933,← 304°,371,427,17875,2150, FlightAware ADS-B (WSAG)
Tue 12:40:02 PM,1.6953,103.652,← 304°,382,440,18875,2425, FlightAware ADS-B (XSP / WSSL)
Tue 12:40:32 PM,1.7269,103.6057,← 305°,381,438,20300,2710, FlightAware ADS-B (WSAC)
Tue 12:41:04 PM,1.7579,103.561,← 305°,378,435,21675,1645, FlightAware ADS-B (QPG / WSAP)
Tue 12:41:34 PM,1.7882,103.5176,← 305°,381,438,22000,315, FlightAware ADS-B (QPG / WSAP)
Tue 12:42:06 PM,1.8216,103.4698,← 305°,403,464,22000,-24, FlightAware ADS-B (MKZ / WMKM)
Tue 12:42:36 PM,1.8534,103.424,← 305°,419,482,21975,, FlightAware ADS-B (SIN / WSSS)
Tue 12:43:06 PM,1.8875,103.3749,← 304°,420,483,22000,25, FlightAware ADS-B (SIN / WSSS)
Tue 12:43:36 PM,1.9205,103.3259,← 304°,424,488,22000,, FlightAware ADS-B (SIN / WSSS)
Tue 12:44:06 PM,1.9541,103.2776,← 305°,421,484,22000,, FlightAware ADS-B (SIN / WSSS)
Tue 12:44:36 PM,1.9873,103.2304,← 305°,416,479,22000,-25, FlightAware ADS-B (SIN / WSSS)
Tue 12:45:06 PM,2.0205,103.1831,← 305°,413,475,21975,-50, FlightAware ADS-B (SIN / WSSS)
Tue 12:45:36 PM,2.053,103.1366,← 305°,411,473,21950,-23, FlightAware ADS-B (SIN / WSSS)
Tue 12:46:10 PM,2.0893,103.0852,← 305°,410,472,21950,30, FlightAware ADS-B (MKZ / WMKM)
Tue 12:46:26 PM,2.1068,103.0599,← 302°,411,473,21975,86, FlightAware ADS-B (WSAG)
Tue 12:46:45 PM,2.1205,103.0265,← 282°,411,473,22000,25, FlightAware ADS-B (WMAV)
Tue 12:47:26 PM,2.1294,102.9495,← 277°,406,467,22000,-20, FlightAware ADS-B (QPG / WSAP)
Tue 12:48:00 PM,2.1369,102.8846,← 276°,406,467,21975,-445, FlightAware ADS-B (MKZ / WMKM)
Tue 12:48:30 PM,2.143,102.8287,← 276°,404,465,21525,-934, FlightAware ADS-B (MKZ / WMKM)
Tue 12:49:01 PM,2.1491,102.7738,← 276°,404,465,21025,-1008, FlightAware ADS-B (WMAP)
Tue 12:49:31 PM,2.1551,102.7186,← 276°,401,461,20500,-1050, FlightAware ADS-B (WMAP)
Tue 12:50:01 PM,2.1613,102.662,← 276°,396,456,19975,-1700, FlightAware ADS-B (WMAP)
Tue 12:50:31 PM,2.1676,102.6061,← 277°,419,482,18800,-2517, FlightAware ADS-B (WMAP)
Tue 12:51:00 PM,2.173,102.5471,← 272°,427,491,17500,-2720, FlightAware ADS-B (MKZ / WMKM)
Tue 12:51:30 PM,2.1728,102.4906,← 269°,423,487,16125,-2661, FlightAware ADS-B (SZB / WMSA)
Tue 12:52:02 PM,2.1717,102.4282,← 269°,413,475,14750,-2637, FlightAware ADS-B (MKZ / WMKM)
Tue 12:52:32 PM,2.171,102.3726,← 269°,406,467,13400,-2613, FlightAware ADS-B (WMAV)
Tue 12:53:04 PM,2.1705,102.3118,← 270°,396,456,12050,-2468, FlightAware ADS-B (WMAP)
Tue 12:53:34 PM,2.1701,102.2573,← 269°,387,445,10850,-2541, FlightAware ADS-B (WMAP)
Tue 12:53:53 PM,2.1697,102.2227,← 269°,384,442,9975,-2173, FlightAware ADS-B (MKZ / WMKM)
Tue 12:54:23 PM,2.1684,102.1695,← 269°,383,441,9075,-1234, FlightAware ADS-B (MKZ / WMKM)
Tue 12:54:55 PM,2.1671,102.1151,← 269°,372,428,8700,-750, FlightAware ADS-B (QPG / WSAP)
Tue 12:55:11 PM,2.1665,102.0876,← 269°,355,409,8475,-986, FlightAware ADS-B (SZB / WMSA)
Tue 12:55:30 PM,2.1683,102.0586,← 282°,340,391,8125,-1964, FlightAware ADS-B (MKZ / WMKM)
Tue 12:55:53 PM,2.1842,102.0243,← 299°,356,410,7100,-2538, FlightAware ADS-B (MKZ / WMKM)
Tue 12:56:09 PM,2.1962,102.0027,← 299°,364,419,6475,-1630, FlightAware ADS-B (SZB / WMSA)
Tue 12:56:39 PM,2.2199,101.9594,← 298°,353,406,5850,-836, FlightAware ADS-B (SZB / WMSA)
Tue 12:57:10 PM,2.2444,101.9142,← 300°,317,365,5625,-447, FlightAware ADS-B (MKZ / WMKM)
Tue 12:57:26 PM,2.2584,101.8978,↖ 316°,296,341,5500,-485, FlightAware ADS-B (SZB / WMSA)
Tue 12:57:44 PM,2.277,101.8866,↑ 339°,276,318,5350,-1098, FlightAware ADS-B (MKZ / WMKM)
Tue 12:58:07 PM,2.3073,101.8778,↑ 344°,268,308,4750,-1538, FlightAware ADS-B (SZB / WMSA)
Tue 12:58:24 PM,2.3258,101.8727,↑ 344°,268,308,4325,-1596, FlightAware ADS-B (SZB / WMSA)
Tue 12:58:54 PM,2.3614,101.8629,↑ 345°,264,304,3500,-1575, FlightAware ADS-B (MKZ / WMKM)
Tue 12:59:24 PM,2.3972,101.8533,↑ 345°,264,304,2750,-1170, FlightAware ADS-B (MKZ / WMKM)
Tue 12:59:44 PM,2.4205,101.8469,↑ 344°,261,300,2525,-300, FlightAware ADS-B (MKZ / WMKM)
Tue 01:00:14 PM,2.4554,101.8373,↑ 345°,265,305,2500,-32, FlightAware ADS-B (MKZ / WMKM)
Tue 01:00:31 PM,2.4766,101.8317,↑ 345°,263,303,2500,45, FlightAware ADS-B (SZB / WMSA)
Tue 01:00:47 PM,2.4956,101.8265,↑ 345°,262,302,2525,, FlightAware ADS-B (SZB / WMSA)
Tue 01:01:04 PM,2.5141,101.8215,↑ 345°,257,296,2500,-43, FlightAware ADS-B (SZB / WMSA)
Tue 01:01:22 PM,2.5355,101.8132,↖ 329°,256,295,2500,, FlightAware ADS-B (SZB / WMSA)
Tue 01:01:38 PM,2.5504,101.8035,↖ 326°,255,293,2500,, FlightAware ADS-B (SZB / WMSA)
Tue 01:02:08 PM,2.5803,101.7833,↖ 326°,246,283,2500,, FlightAware ADS-B (KUL / WMKK)
Tue 01:02:24 PM,2.5945,101.7738,↖ 326°,230,265,2500,-620, FlightAware ADS-B (SZB / WMSA)
Tue 01:02:54 PM,2.6196,101.757,↖ 326°,196,226,2025,-925, FlightAware ADS-B (SZB / WMSA)
Tue 01:03:24 PM,2.6397,101.7435,↖ 326°,166,191,1575,-894, FlightAware ADS-B (SZB / WMSA)
Tue 01:03:41 PM,2.6509,101.7361,↖ 326°,161,185,1325,-798, FlightAware ADS-B (KUL / WMKK)
Tue 01:04:11 PM,2.6688,101.724,↖ 326°,156,180,950,-750, FlightAware ADS-B (SZB / WMSA)
Tue 01:04:21 PM,2.6748,101.72,↖ 326°,156,180,825,-825, Surface and Near-Surface
Tue 01:04:31 PM,2.6807,101.7161,↖ 326°,154,177,675,-833, FlightAware ADS-B (KUL / WMKK)
Tue 01:04:48 PM,2.691,101.7091,↖ 326°,152,175,450,-773, FlightAware ADS-B (KUL / WMKK)
Tue 01:05:04 PM,2.7007,101.7027,↖ 326°,154,177,250,-750, FlightAware ADS-B (KUL / WMKK)
Tue 01:05:50 PM    Arrival (KUL) @ Tuesday 01:05:50 PM +08,,,,,,,, FlightAware
Taxi Time: 3 minutes,,,,,,,,
Tue 01:09:00 PM    Gate Arrival (KUL) @ Tuesday 01:09:00 PM +08,,,,,,,, Airline
,,,,,,,,
Mon 12:04:00 PM    Left Gate (SIN) @ Monday 12:04:00 PM +08,,,,,,,, Airline
Taxi Time: 13 minutes,,,,,,,,
Mon 12:17:17 PM    Departure (SIN) @ Monday 12:17:17 PM +08,,,,,,,, FlightAware ADS-B (QPG / WSAP)
Mon 12:17:17 PM,1.3524,103.9948,↗ 22°,161,185,375,, FlightAware ADS-B (QPG / WSAP)
Mon 12:17:33 PM,1.3638,103.9993,↗ 22°,168,193,875,1688, FlightAware ADS-B (QPG / WSAP)
Mon 12:17:49 PM,1.3761,104.0043,↗ 22°,190,219,1275,1641, FlightAware ADS-B (XSP / WSSL)
Mon 12:18:05 PM,1.3898,104.0098,↗ 22°,214,246,1750,2250, FlightAware ADS-B (SIN / WSSS)
Mon 12:18:21 PM,1.4053,104.016,↗ 22°,229,264,2475,3196, FlightAware ADS-B (WSAG)
Mon 12:18:51 PM,1.4356,104.0283,↗ 22°,242,278,4200,3000, FlightAware ADS-B (TGA / WSAT)
Mon 12:19:08 PM,1.4539,104.0347,↑ 14°,264,304,4825,1833, FlightAware ADS-B (XSP / WSSL)
Mon 12:19:27 PM,1.4779,104.0324,↑ 339°,275,316,5300,1329, FlightAware ADS-B (XSP / WSSL)
Mon 12:19:43 PM,1.4952,104.0203,↖ 316°,278,320,5600,1985, FlightAware ADS-B (WSAG)
Mon 12:20:01 PM,1.5115,104.0036,← 313°,283,326,6425,3125, FlightAware ADS-B (SIN / WSSS)
Mon 12:20:31 PM,1.5383,103.9756,← 314°,292,336,8100,3300, FlightAware ADS-B (WSAC)
Mon 12:21:01 PM,1.5682,103.9454,← 315°,301,346,9725,2940, FlightAware ADS-B (WSAC)
Mon 12:21:21 PM,1.5884,103.9246,← 312°,318,366,10550,2071, FlightAware ADS-B (WSAG)
Mon 12:21:43 PM,1.605,103.8959,← 292°,342,394,11175,2481, FlightAware ADS-B (JHB / WMKJ)
Mon 12:22:13 PM,1.6226,103.8519,← 292°,348,400,12700,3000, FlightAware ADS-B (JHB / WMKJ)
Mon 12:22:43 PM,1.6413,103.8057,← 292°,355,409,14175,2850, FlightAware ADS-B (XSP / WSSL)
Mon 12:23:13 PM,1.6597,103.7598,← 292°,360,414,15550,2525, FlightAware ADS-B (XSP / WSSL)
Mon 12:23:43 PM,1.6785,103.7126,← 292°,369,425,16700,2381, FlightAware ADS-B (QPG / WSAP)
Mon 12:24:16 PM,1.6991,103.6608,← 292°,373,429,18050,2357, FlightAware ADS-B (TGA / WSAT)
Mon 12:24:46 PM,1.7192,103.6103,← 292°,381,438,19175,2000, FlightAware ADS-B (WMAP)
Mon 12:25:16 PM,1.7389,103.561,← 292°,393,452,20050,2066, FlightAware ADS-B (WMAP)
Mon 12:25:47 PM,1.7595,103.5091,← 292°,392,451,21275,1893, FlightAware ADS-B (XSP / WSSL)
Mon 12:26:17 PM,1.7789,103.4603,← 291°,386,444,21975,713, FlightAware ADS-B (WSAG)
Mon 12:26:48 PM,1.7993,103.4087,← 291°,384,442,22000,25, FlightAware ADS-B (XSP / WSSL)
Mon 12:27:18 PM,1.8187,103.3599,← 292°,378,435,22000,, FlightAware ADS-B (SIN / WSSS)
Mon 12:27:48 PM,1.838,103.3114,← 292°,380,437,22000,, FlightAware ADS-B (SIN / WSSS)
Mon 12:28:22 PM,1.8623,103.2572,← 296°,381,438,22000,, FlightAware ADS-B (TGA / WSAT)
Mon 12:28:52 PM,1.8858,103.2097,← 296°,379,436,22000,, FlightAware ADS-B (XSP / WSSL)
Mon 12:29:22 PM,1.9097,103.1603,← 294°,381,438,22000,, FlightAware ADS-B (WMAP)
Mon 12:29:39 PM,1.9191,103.1343,← 285°,380,437,22000,, FlightAware ADS-B (XSP / WSSL)
Mon 12:30:12 PM,1.9328,103.0774,← 284°,376,433,22000,, FlightAware ADS-B (JHB / WMKJ)
Mon 12:30:44 PM,1.9461,103.0228,← 283°,378,435,22000,, FlightAware ADS-B (SIN / WSSS)
Mon 12:31:14 PM,1.9578,102.9741,← 283°,378,435,22000,, FlightAware ADS-B (WSAG)
Mon 12:31:44 PM,1.9706,102.9213,← 283°,378,435,22000,, FlightAware ADS-B (JHB / WMKJ)
Mon 12:32:14 PM,1.9829,102.8703,← 283°,379,436,22000,, FlightAware ADS-B (SZB / WMSA)
Mon 12:32:45 PM,1.9956,102.8176,← 283°,379,436,22000,, FlightAware ADS-B (SIN / WSSS)
Mon 12:33:15 PM,2.0079,102.7662,← 284°,377,434,22000,, FlightAware ADS-B (SZB / WMSA)
Mon 12:33:45 PM,2.0202,102.7155,← 283°,378,435,22000,-24, FlightAware ADS-B (SIN / WSSS)
Mon 12:34:17 PM,2.0336,102.6595,← 284°,382,440,21975,-476, FlightAware ADS-B (SZB / WMSA)
Mon 12:34:48 PM,2.0465,102.6059,← 283°,392,451,21500,-1156, FlightAware ADS-B (WMAP)
Mon 12:35:18 PM,2.0591,102.5537,← 284°,387,445,20800,-1450, FlightAware ADS-B (SZB / WMSA)
Mon 12:35:48 PM,2.0713,102.5034,← 284°,379,436,20050,-1675, FlightAware ADS-B (WMAV)
Mon 12:36:18 PM,2.0832,102.4536,← 283°,372,428,19125,-1828, FlightAware ADS-B (WMAP)
Mon 12:36:52 PM,2.0967,102.3973,← 283°,365,420,18100,-2156, FlightAware ADS-B (WMAP)
Mon 12:37:22 PM,2.1085,102.3484,← 284°,363,418,16825,-2711, FlightAware ADS-B (SIN / WSSS)
Mon 12:37:49 PM,2.1194,102.3054,← 289°,360,414,15525,-3694, FlightAware ADS-B (XSP / WSSL)
Mon 12:38:29 PM,2.1528,102.2435,← 300°,377,434,12700,-3822, FlightAware ADS-B (WMAV)
Mon 12:39:02 PM,2.182,102.1929,← 300°,371,427,10875,-3144, FlightAware ADS-B (SZB / WMSA)
Mon 12:39:21 PM,2.1979,102.1655,← 300°,364,419,9975,-1800, FlightAware ADS-B (SZB / WMSA)
Mon 12:39:52 PM,2.2224,102.1231,← 300°,330,380,9375,-1131, FlightAware ADS-B (SZB / WMSA)
Mon 12:40:22 PM,2.2442,102.0853,← 300°,302,348,8825,-1400, FlightAware ADS-B (SZB / WMSA)
Mon 12:40:52 PM,2.2648,102.0499,← 300°,296,341,7975,-1524, FlightAware ADS-B (SZB / WMSA)
Mon 12:41:24 PM,2.2865,102.0124,← 300°,290,334,7250,-1258, FlightAware ADS-B (SZB / WMSA)
Mon 12:41:54 PM,2.3059,101.9786,← 300°,273,314,6675,-1450, FlightAware ADS-B (MKZ / WMKM)
Mon 12:42:24 PM,2.3247,101.9465,← 300°,267,307,5800,-1859, FlightAware ADS-B (MKZ / WMKM)
Mon 12:42:40 PM,2.3343,101.9299,← 300°,269,310,5250,-1924, FlightAware ADS-B (MKZ / WMKM)
Mon 12:43:10 PM,2.3532,101.8971,← 300°,266,306,4325,-1688, FlightAware ADS-B (SZB / WMSA)
Mon 12:43:28 PM,2.3643,101.8782,← 302°,263,303,3900,-1157, FlightAware ADS-B (SZB / WMSA)
Mon 12:43:45 PM,2.379,101.8645,↖ 331°,256,295,3650,-689, FlightAware ADS-B (MKZ / WMKM)
Mon 12:44:05 PM,2.4023,101.8602,↑ 3°,254,292,3475,-708, FlightAware ADS-B (MKZ / WMKM)
Mon 12:44:21 PM,2.4206,101.8619,↑ 5°,255,293,3225,-1163, FlightAware ADS-B (SZB / WMSA)
Mon 12:44:45 PM,2.4493,101.8638,↑ 359°,251,289,2700,-1050, FlightAware ADS-B (MKZ / WMKM)
Mon 12:45:01 PM,2.4668,101.8586,↖ 331°,254,292,2525,-343, FlightAware ADS-B (SZB / WMSA)
Mon 12:45:20 PM,2.4856,101.8468,↖ 326°,247,284,2500,-38, FlightAware ADS-B (MKZ / WMKM)
Mon 12:45:41 PM,2.5053,101.8335,↖ 326°,223,257,2500,, FlightAware ADS-B (SZB / WMSA)
Mon 12:46:17 PM,2.5338,101.8144,↖ 326°,198,228,2500,, FlightAware ADS-B (SZB / WMSA)
Mon 12:46:34 PM,2.5462,101.8061,↖ 326°,197,227,2500,, FlightAware ADS-B (SZB / WMSA)
Mon 12:46:53 PM,2.5612,101.7961,↖ 326°,199,229,2500,29, FlightAware ADS-B (MKZ / WMKM)
Mon 12:47:25 PM,2.5844,101.7805,↖ 326°,173,199,2525,, FlightAware ADS-B (KUL / WMKK)
Mon 12:47:44 PM,2.5971,101.772,↖ 327°,172,198,2500,-582, FlightAware ADS-B (KUL / WMKK)
Mon 12:48:14 PM,2.6175,101.7583,↖ 326°,175,201,2050,-850, FlightAware ADS-B (KUL / WMKK)
Mon 12:48:44 PM,2.6368,101.7454,↖ 326°,158,182,1650,-800, FlightAware ADS-B (KUL / WMKK)
Mon 12:49:14 PM,2.6546,101.7335,↖ 326°,148,170,1250,-750, FlightAware ADS-B (KUL / WMKK)
Mon 12:49:30 PM,2.6633,101.7277,↖ 326°,149,171,1075,-708, FlightAware ADS-B (KUL / WMKK)
Mon 12:49:50 PM,2.6747,101.72,↖ 326°,150,173,825,-770, Surface and Near-Surface
Mon 12:50:07 PM,2.6845,101.7135,↖ 326°,151,174,600,-773, FlightAware ADS-B (SZB / WMSA)
Mon 12:50:23 PM,2.694,101.7071,↖ 326°,151,174,400,-773, FlightAware ADS-B (KUL / WMKK)
Mon 12:50:40 PM,2.7041,101.7004,↖ 326°,152,175,175,-794, FlightAware ADS-B (KUL / WMKK)
Mon 12:51:29 PM    Arrival (KUL) @ Monday 12:51:29 PM +08,,,,,,,, FlightAware
Taxi Time: 8 minutes,,,,,,,,
Mon 01:00:00 PM    Gate Arrival (KUL) @ Monday 01:00:00 PM +08,,,,,,,, Airline
,,,,,,,,
Sun 12:38:00 PM    Left Gate (SIN) @ Sunday 12:38:00 PM +08,,,,,,,, Airline
Taxi Time: 10 minutes,,,,,,,,
Sun 12:48:03 PM    Departure (SIN) @ Sunday 12:48:03 PM +08,,,,,,,, FlightAware ADS-B (SIN / WSSS)
Sun 12:48:03 PM,1.3487,103.9934,↗ 24°,160,184,250,, FlightAware ADS-B (SIN / WSSS)
Sun 12:48:19 PM,1.36,103.9981,↗ 23°,167,192,825,1781, FlightAware ADS-B (WSAC)
Sun 12:48:35 PM,1.3715,104.0029,↗ 23°,186,214,1200,1547, FlightAware ADS-B (TGA / WSAT)
Sun 12:48:51 PM,1.3854,104.0088,↗ 23°,207,238,1650,1969, FlightAware ADS-B (WSAG)
Sun 12:49:07 PM,1.3999,104.0151,↗ 23°,224,258,2250,2813, FlightAware ADS-B (QPG / WSAP)
Sun 12:49:23 PM,1.4158,104.0218,↗ 23°,231,266,3150,2603, FlightAware ADS-B (QPG / WSAP)
Sun 12:49:41 PM,1.4337,104.0294,↗ 23°,236,272,3725,1375, FlightAware ADS-B (SIN / WSSS)
Sun 12:50:11 PM,1.4649,104.0425,↗ 23°,240,276,4250,1011, FlightAware ADS-B (QPG / WSAP)
Sun 12:50:27 PM,1.481,104.049,↑ 17°,241,277,4500,882, FlightAware ADS-B (XSP / WSSL)
Sun 12:50:45 PM,1.5015,104.0489,↑ 343°,242,278,4750,1026, FlightAware ADS-B (TGA / WSAT)
Sun 12:51:05 PM,1.5199,104.0392,↖ 331°,242,278,5150,1050, FlightAware ADS-B (QPG / WSAP)
Sun 12:51:35 PM,1.5506,104.0229,↖ 332°,246,283,5625,975, FlightAware ADS-B (XSP / WSSL)
Sun 12:52:05 PM,1.5824,104.0059,↖ 331°,268,308,6125,1225, FlightAware ADS-B (JHB / WMKJ)
Sun 12:52:35 PM,1.6167,103.9875,↖ 332°,267,307,6850,2250, FlightAware ADS-B (JHB / WMKJ)
Sun 12:53:05 PM,1.6478,103.9707,↖ 332°,272,313,8375,3300, FlightAware ADS-B (SIN / WSSS)
Sun 12:53:50 PM,1.7006,103.9421,↖ 331°,276,318,10975,2980, FlightAware ADS-B (QPG / WSAP)
Sun 12:54:20 PM,1.7338,103.9242,↖ 331°,292,336,12100,1826, FlightAware ADS-B (XSP / WSSL)
Sun 12:54:36 PM,1.7518,103.9093,← 308°,317,365,12375,986, FlightAware ADS-B (JHB / WMKJ)
Sun 12:54:55 PM,1.7614,103.8844,← 280°,338,389,12675,2000, FlightAware ADS-B (WSAC)
Sun 12:55:36 PM,1.7705,103.8165,← 279°,355,409,14375,2345, FlightAware ADS-B (JHB / WMKJ)
Sun 12:56:06 PM,1.7778,103.7688,← 279°,365,420,15450,2450, FlightAware ADS-B (XSP / WSSL)
Sun 12:56:36 PM,1.7853,103.7192,← 279°,367,422,16825,2500, FlightAware ADS-B (QPG / WSAP)
Sun 12:57:06 PM,1.7929,103.6686,← 279°,372,428,17950,2175, FlightAware ADS-B (QPG / WSAP)
Sun 12:57:36 PM,1.8001,103.6172,← 278°,378,435,19000,1893, FlightAware ADS-B (QPG / WSAP)
Sun 12:58:07 PM,1.8084,103.5602,← 278°,388,447,19875,1000, FlightAware ADS-B (JHB / WMKJ)
Sun 12:58:36 PM,1.8155,103.5127,← 280°,380,437,20000,398, FlightAware ADS-B (WSAG)
Sun 12:58:56 PM,1.8263,103.4771,← 292°,383,441,20200,1140, FlightAware ADS-B (MKZ / WMKM)
Sun 12:59:26 PM,1.8469,103.4271,← 292°,396,456,20950,1254, FlightAware ADS-B (MKZ / WMKM)
Sun 12:59:57 PM,1.8684,103.3732,← 292°,415,478,21475,861, FlightAware ADS-B (JHB / WMKJ)
Sun 01:00:27 PM,1.8907,103.318,← 292°,437,503,21825,525, FlightAware ADS-B (JHB / WMKJ)
Sun 01:00:57 PM,1.9126,103.2637,← 292°,435,501,22000,146, FlightAware ADS-B (TGA / WSAT)
Sun 01:01:39 PM,1.945,103.1834,← 292°,440,506,22000,, FlightAware ADS-B (WMAV)
Sun 01:02:09 PM,1.9682,103.1261,← 292°,440,506,22000,, FlightAware ADS-B (WMAV)
Sun 01:02:39 PM,1.9911,103.0693,← 292°,440,506,22000,, FlightAware ADS-B (WMAV)
Sun 01:03:09 PM,2.0139,103.0126,← 292°,437,503,22000,, FlightAware ADS-B (WMAV)
Sun 01:03:41 PM,2.0376,102.9539,← 292°,438,504,22000,, FlightAware ADS-B (MKZ / WMKM)
Sun 01:04:12 PM,2.0603,102.8977,← 292°,437,503,22000,, FlightAware ADS-B (MKZ / WMKM)
Sun 01:04:43 PM,2.0846,102.8375,← 292°,438,504,22000,-120, FlightAware ADS-B (SZB / WMSA)
Sun 01:05:02 PM,2.0963,102.8023,← 285°,433,498,21900,-500, FlightAware ADS-B (SZB / WMSA)
Sun 01:05:19 PM,2.1019,102.7712,← 279°,422,486,21700,-957, FlightAware ADS-B (QPG / WSAP)
Sun 01:05:49 PM,2.1108,102.7145,← 279°,401,461,21150,-1617, FlightAware ADS-B (WMAP)
Sun 01:06:23 PM,2.1206,102.6514,← 279°,395,455,19975,-1800, FlightAware ADS-B (WSAG)
Sun 01:06:54 PM,2.1294,102.5963,← 279°,395,455,19200,-1402, FlightAware ADS-B (WMAV)
Sun 01:07:24 PM,2.1378,102.5422,← 279°,394,453,18550,-1425, FlightAware ADS-B (WMAV)
Sun 01:07:54 PM,2.1466,102.4863,← 279°,387,445,17775,-1475, FlightAware ADS-B (QPG / WSAP)
Sun 01:08:24 PM,2.1543,102.4368,← 279°,377,434,17075,-1450, FlightAware ADS-B (QPG / WSAP)
Sun 01:08:54 PM,2.1624,102.3844,← 279°,375,432,16325,-1525, FlightAware ADS-B (QPG / WSAP)
Sun 01:09:24 PM,2.1705,102.3323,← 279°,368,423,15550,-1500, FlightAware ADS-B (SZB / WMSA)
Sun 01:09:54 PM,2.1781,102.2836,← 279°,355,409,14825,-1450, FlightAware ADS-B (SZB / WMSA)
Sun 01:10:24 PM,2.1857,102.2348,← 279°,344,396,14100,-1475, FlightAware ADS-B (SZB / WMSA)
Sun 01:10:54 PM,2.1927,102.1896,← 279°,335,386,13350,-1475, FlightAware ADS-B (SZB / WMSA)
Sun 01:11:24 PM,2.1997,102.1455,← 279°,327,376,12625,-1500, FlightAware ADS-B (SZB / WMSA)
Sun 01:11:56 PM,2.2073,102.0963,← 279°,320,368,11800,-1500, FlightAware ADS-B (MKZ / WMKM)
Sun 01:12:26 PM,2.2138,102.0544,← 279°,315,362,11075,-1477, FlightAware ADS-B (KUL / WMKK)
Sun 01:13:00 PM,2.2215,102.0045,← 279°,307,353,10225,-1430, FlightAware ADS-B (MKZ / WMKM)
Sun 01:13:30 PM,2.2279,101.9639,← 279°,299,344,9550,-1025, FlightAware ADS-B (SZB / WMSA)
Sun 01:14:00 PM,2.2343,101.923,← 279°,278,320,9200,-825, FlightAware ADS-B (SZB / WMSA)
Sun 01:14:30 PM,2.2399,101.8866,← 279°,262,302,8725,-1125, FlightAware ADS-B (SZB / WMSA)
